Country_Name,Country_Code,Employment,Life_Expectancy,TFR
OECD members,OED,86.3783747,82.78648766,1.687083556
Oman,OMN,95.55000305,80.134,2.888
Other small states,OSS,60.01438179,70.20852405,3.049681165
Pakistan,PAK,28.39999962,68.109,3.51
Panama,PAN,64.52999878,81.593,2.461
Peru,PER,39.13999939,79.28,2.254
Philippines,PHL,60.09000015,75.387,2.576
Papua New Guinea,PNG,14.51000023,65.576,3.564
Poland,POL,83.97000122,81.7,1.46
Pre-demographic dividend,PRE,15.5218211,62.45490847,4.939727981
Puerto Rico,PRI,91.33000183,83.382,1.035
"Korea, Dem. People's Rep.",PRK,12.73999977,75.549,1.904
Portugal,PRT,87.55999756,84.5,1.42
Paraguay,PRY,56.08000183,76.25,2.429
West Bank and Gaza,PSE,75.47000122,75.595,3.643
Pacific island small states,PSS,37.80140149,71.87480988,3.515224275
Post-demographic dividend,PST,90.59726477,83.40107854,1.551774637
French Polynesia,PYF,90.73999786,79.725,1.941
Qatar,QAT,99.51999664,81.876,1.866
Romania,ROU,76.08999634,79.2,1.76
Russian Federation,RUS,94.23000336,77.82,1.579
Rwanda,RWA,23.04000092,70.784,4.044
South Asia,SAS,24.75387548,70.76422541,2.384748211
Saudi Arabia,SAU,98.66000366,76.615,2.319
Sudan,SDN,35.95999908,66.947,4.407
Senegal,SEN,28.87000084,69.627,4.625
Singapore,SGP,90.86000061,85.5,1.14
Solomon Islands,SLB,26.82999992,74.697,4.403
Sierra Leone,SLE,3.930000067,55.106,4.263
El Salvador,SLV,54.04000092,77.635,2.039
Somalia,SOM,3.1900000569999998,58.791,6.072
Serbia,SRB,76.12999725,78.4,1.49
Sub-Saharan Africa (excluding high income),SSA,18.59555199,63.03931854,4.69342017
South Sudan,SSD,4.099999905,59.135,4.696
Sub-Saharan Africa,SSF,18.59555199,63.04056967,4.693213128
Small states,SST,61.95903574,71.39035228,2.874004338
Sao Tome and Principe,STP,42.13000107,72.583,4.321
Suriname,SUR,89.36000061,74.937,2.418
Slovak Republic,SVK,90.16000366,80.8,1.54
Slovenia,SVN,88.06999969,84.4,1.61
Sweden,SWE,94.40000153,84.3,1.76
Eswatini,SWZ,58.68999863,63.968,2.99
Syrian Arab Republic,SYR,91.91999817,77.763,2.808
Chad,TCD,1.059999943,55.4,5.747
East Asia & Pacific (IDA & IBRD countries),TEA,50.62254513,77.80536488,1.875312756
Europe & Central Asia (IDA & IBRD countries),TEC,82.05800348,78.07634608,1.860620568
Togo,TGO,11.01000023,61.612,4.32
Thailand,THA,48.40000153,80.704,1.525
Tajikistan,TJK,65.98000336,73.177,3.585
Turkmenistan,TKM,63.22000122,71.584,2.786
Latin America & the Caribbean (IDA & IBRD countries),TLA,63.21081931,78.55547203,2.03849405
Timor-Leste,TLS,19.32999992,71.376,4.023
Middle East & North Africa (IDA & IBRD countries),TMN,64.59367834,75.5151714,2.878414147
Tonga,TON,50.18999863,72.763,3.556
South Asia (IDA & IBRD),TSA,24.75387548,70.76422541,2.384748211
Sub-Saharan Africa (IDA & IBRD countries),TSS,18.59555199,63.04056967,4.693213128
Trinidad and Tobago,TTO,83.59999847,76.092,1.725
Tunisia,TUN,85.43000031,78.536,2.197
Turkey,TUR,65.51000214,80.336,2.069
Tanzania,TZA,11.90999985,66.824,4.892
Uganda,UGA,16.23999977,65.173,4.955
Ukraine,UKR,86.29000092,76.72,1.301
Upper middle income,UMC,59.76009642,78.55356191,1.836060097
Uruguay,URY,75.76000214,81.359,1.973
United States,USA,94.83000183,81.2,1.7295
Uzbekistan,UZB,64.30000305,73.676,2.604
St. Vincent and the Grenadines,VCT,78.16999817,75.007,1.891
"Venezuela, RB",VEN,58.06000137,76.074,2.272
Virgin Islands (U.S.),VIR,93.41999817,82.9,2.06
Vietnam,VNM,39.38999939,79.442,2.049
Vanuatu,VUT,28.51000023,71.99,3.782
World,WLD,54.26682253,74.88278887,2.415040379
Samoa,WSM,74.75,75.325,3.877
"Yemen, Rep.",YEM,38.02999878,67.795,3.792
South Africa,ZAF,87.45999908,67.398,2.405
Zambia,ZMB,15.53999996,66.447,4.633
Zimbabwe,ZWE,22.55999947,62.598,3.615
